"","TurnSeq","Speaker","Utterance","IUSeq"
"1",1,"F1:"," 反正 就 我 覺得",1
"2",1,"F1:"," (.) 喔 就",2
"3",1,"F1:"," (.) 現在 小學生 程度 差",3
"4",1,"F1:"," (...) 真的 很 誇張 我 教 的 那 個",4
"5",1,"F1:"," (...) 我 教 的 那 個 小五",5
"6",1,"F1:"," (.) 跟 我 上次",6
"7",1,"F1:"," (...) 上次",7
"8",1,"F1:"," (.) 教到 的 [那 個 小五]",8
"9",2,"F2:"," [對 對 那 個] 那 個 那 個",9
"10",3,"F1:"," (.) 一樣 喔",10
"11",3,"F1:"," (...) 我 那 個 學生 是",11
"12",3,"F1:"," (.) 他 學 那 個 何嘉仁 已 經 那 個",12
"13",3,"F1:"," (...) 程度 太 高 了",13
"14",3,"F1:"," (.) 他 跟 不 上",14
"15",3,"F1:"," (.) 才 請 家教",15
"16",3,"F1:"," (...) 我 上次 去 那 個 瑛如 他們 那 個 是",16
"17",3,"F1:"," (...) 那 個 課 本 太 難",17
"18",3,"F1:"," (.) 他 完全 看 不 懂",18
"19",3,"F1:"," (.) 他 連 <L2 you I L2> 都 看 不 懂",19
"20",3,"F1:"," (.) 然後 我 那 個 學生 是",20
"21",3,"F1:"," (.) 課本 太 簡單 了",21
"22",3,"F1:"," (.) 瞄 兩 下",22
"23",3,"F1:"," (.) 單字 背 一 下 就 好",23
"24",3,"F1:"," (.) 那 我們 先 把 這 簡單 的 課本 放到 旁邊 去",24
"25",3,"F1:"," (.) 我們 來 看 何嘉仁",25
"26",3,"F1:"," (.) 是 這 樣子 耶",26
"27",3,"F1:"," (.) 差 好 多 喔",27
"28",3,"F1:"," (...) 然後 看 了 有點 心酸 吶",28
"29",3,"F1:"," (...) [2可 那 沒 辦法2]",29
"30",4,"F2:"," [2可 那 沒 辦2]",30
"31",4,"F2:"," (...)",31
"32",4,"F2:"," (...) 沒 辦法",32
"33",5,"F1:"," (...) 對 呀",33
"34",5,"F1:"," (.) 因為 這 並 不 是",34
"35",5,"F1:"," (...) 老師",35
"36",5,"F1:"," (.) 有 時候 我 覺得 老師 其實",36
"37",5,"F1:"," (.) 能 做 的",37
"38",6,"F2:"," (...) 而且 [一 個 禮拜] 才 一 次 耶",38
"39",7,"F1:"," [大概 有]",39
"40",8,"F2:"," (.) [2一 次2]",40
"41",9,"F1:"," [2一 個 禮拜2] 一 次 真的 很 少",41
"42",9,"F1:"," (.) [3家教 都3] [沒 那麼 少]",42
"43",10,"F2:"," [3而且 一 次3]",43
"44",11,"F3:"," [還 好 啦] 一 次 其實",44
"45",11,"F3:"," (...) 你 有",45
"46",11,"F3:"," (.) 你 有 重點 要 教 他 什麼 [2的 話2]",46
"47",12,"F1:"," [2教2] 技巧",47
"48",12,"F1:"," (...) [3技巧 類 的3]",48
"49",13,"F2:"," [3像 我 覺得3] 也 有 一 個 很 重要 是 他們 要 肯 學 呀",49
"50",13,"F2:"," (.) 像 我",50
"51",13,"F2:"," (.) 上次 你 有 看 到 我 教 [那 個]",51
"52",14,"F1:"," [喔]",52
"53",13,"F2:"," (.) 他 根本 就 無心 學",53
"54",15,"F1:"," (...) 對 啊",54
